# t	x	v	s	E_total
0.236	0.221697	-0.211968	0	0.268213
0.237	0.221481	-0.217314	0	0.268881
0.238	0.221267	-0.214339	0	0.267767
0.239	0.221038	-0.230886	0	0.270942
0.24	0.220799	-0.239344	0	0.272405
0.241	0.220558	-0.242582	0	0.272652
0.242	0.220308	-0.251478	0	0.274298
0.243	0.220065	-0.243709	0	0.27184
0.244	0.219827	-0.238897	0	0.270156
0.245	0.219585	-0.243566	0	0.27075
0.246	0.219332	-0.254093	0	0.272814
0.247	0.219107	-0.22605	0	0.265588
0.248	0.218879	-0.228976	0	0.265755
0.249	0.218686	-0.19373	0	0.257884
0.25	0.218489	-0.198821	0	0.258451
0.251	0.218297	-0.192444	0	0.256786
0.252	0.218135	-0.163596	0	0.251295
0.253	0.21798	-0.155342	0	0.249643
0.254	0.217811	-0.170124	0	0.25168
0.255	0.217645	-0.16751	0	0.250876
0.256	0.217468	-0.177874	0	0.252282
0.257	0.217288	-0.181169	0	0.252482
0.258	0.217119	-0.170055	0	0.250163
0.259	0.216947	-0.173669	0	0.250409
0.26	0.216766	-0.181215	0	0.251358
0.261	0.2166	-0.167734	0	0.248645
0.262	0.216428	-0.172445	0	0.249075
0.263	0.216279	-0.150691	0	0.245236
0.264	0.216149	-0.131173	0	0.242204
0.265	0.21604	-0.110124	0	0.239429
0.266	0.215927	-0.113604	0	0.239576
0.267	0.215846	-0.0823874	0	0.236341
0.268	0.215772	-0.0746011	0	0.235571
0.269	0.215682	-0.0917127	0	0.236798
0.27	0.215616	-0.0666937	0	0.234675
0.271	0.215555	-0.0617261	0	0.234226
0.272	0.215489	-0.0674435	0	0.234452
0.273	0.215428	-0.0622057	0	0.233981
0.274	0.215339	-0.0901103	0	0.235914
0.275	0.215237	-0.102589	0	0.236898
0.276	0.215145	-0.0934335	0	0.235802
0.277	0.215063	-0.0826725	0	0.234679
0.278	0.214969	-0.0956094	0	0.235629
0.279	0.214854	-0.115674	0	0.237502
0.28	0.214733	-0.121898	0	0.237982
0.281	0.214631	-0.103929	0	0.235732
0.282	0.214508	-0.124025	0	0.237759
0.283	0.214362	-0.146816	0	0.240532
0.284	0.214206	-0.157337	0	0.241798
0.285	0.214032	-0.174363	0	0.24425
0.286	0.213848	-0.184956	0	0.24576
0.287	0.213658	-0.191632	0	0.24661
0.288	0.213458	-0.2012	0	0.248062
0.289	0.213267	-0.191615	0	0.245773
0.29	0.213102	-0.166247	0	0.240881
0.291	0.212934	-0.16913	0	0.241007
0.292	0.212769	-0.166043	0	0.240138
0.293	0.212611	-0.158945	0	0.238649
0.294	0.212433	-0.179518	0	0.241752
0.295	0.212258	-0.175489	0	0.240666
0.296	0.212085	-0.174028	0	0.240044
0.297	0.211922	-0.164757	0	0.238126
0.298	0.21176	-0.162396	0	0.237398
0.299	0.211568	-0.193586	0	0.242542
0.3	0.211394	-0.174278	0	0.238625
0.301	0.211217	-0.178229	0	0.238946
0.302	0.211069	-0.148893	0	0.233836
0.303	0.210924	-0.146897	0	0.233233
0.304	0.2108	-0.124435	0	0.229926
0.305	0.210675	-0.126668	0	0.229941
0.306	0.210548	-0.128016	0	0.229846
0.307	0.210422	-0.127001	0	0.229451
0.308	0.210293	-0.130015	0	0.229567
0.309	0.21015	-0.144214	0	0.231213
0.31	0.210015	-0.135543	0	0.229718
0.311	0.209878	-0.138393	0	0.22982
0.312	0.209724	-0.155105	0	0.231949
0.313	0.209579	-0.145734	0	0.230236
0.314	0.209418	-0.161804	0	0.23237
0.315	0.209258	-0.161458	0	0.231979
0.316	0.209089	-0.170225	0	0.233079
0.317	0.208918	-0.171828	0	0.232996
0.318	0.208767	-0.151552	0	0.229403
0.319	0.208628	-0.140066	0	0.227438
0.32	0.208498	-0.131625	0	0.226019
0.321	0.208367	-0.131594	0	0.225743
0.322	0.208231	-0.137217	0	0.226215
0.323	0.208079	-0.152816	0	0.228161
0.324	0.207944	-0.136453	0	0.225513
0.325	0.207816	-0.128943	0	0.22425
0.326	0.207696	-0.121238	0	0.223037
0.327	0.207569	-0.127813	0	0.223592
0.328	0.207426	-0.144305	0	0.225539
0.329	0.207295	-0.131349	0	0.223483
0.33	0.207183	-0.112966	0	0.221006
0.331	0.2071	-0.0840855	0	0.217988
0.332	0.207006	-0.0955369	0	0.218821
0.333	0.206905	-0.101796	0	0.21923
0.334	0.206829	-0.0771	0	0.216863
0.335	0.206744	-0.0858192	0	0.217398
0.336	0.20666	-0.0849765	0	0.217153
0.337	0.206575	-0.0868096	0	0.217133
0.338	0.2065	-0.075485	0	0.21606
0.339	0.206429	-0.0718227	0	0.215645
0.34	0.206356	-0.0743458	0	0.215678
0.341	0.2063	-0.0569131	0	0.214418
0.342	0.206245	-0.0558766	0	0.214247
0.343	0.206216	-0.0303254	0	0.213085
0.344	0.206193	-0.0240719	0	0.212867
0.345	0.206152	-0.0416594	0	0.213362
0.346	0.2061	-0.0529259	0	0.213787
0.347	0.20604	-0.0611524	0	0.214133
0.348	0.205966	-0.0748844	0	0.214915
0.349	0.205893	-0.074596	0	0.214742
0.35	0.205812	-0.0814361	0	0.21511
0.351	0.205731	-0.0822611	0	0.21501
0.352	0.205648	-0.0839808	0	0.214982
0.353	0.205556	-0.0931483	0	0.215605
0.354	0.205445	-0.112516	0	0.217367
0.355	0.205311	-0.134761	0	0.219843
0.356	0.205189	-0.123261	0	0.218109
0.357	0.205063	-0.126564	0	0.218264
0.358	0.204923	-0.141176	0	0.219933
0.359	0.204775	-0.148597	0	0.220705
0.36	0.204645	-0.131737	0	0.218075
0.361	0.204507	-0.13852	0	0.21871
0.362	0.204336	-0.172095	0	0.223575
0.363	0.204167	-0.170394	0	0.222937
0.364	0.204008	-0.159915	0	0.220882
0.365	0.203865	-0.14419	0	0.218199
0.366	0.203725	-0.141213	0	0.217489
0.367	0.203588	-0.137895	0	0.216747
0.368	0.203477	-0.111709	0	0.213254
0.369	0.203359	-0.119375	0	0.213899
0.37	0.20323	-0.129568	0	0.214906
0.371	0.20311	-0.120701	0	0.213553
0.372	0.202996	-0.115583	0	0.212716
0.373	0.202881	-0.115305	0	0.212452
0.374	0.202736	-0.146645	0	0.216262
0.375	0.202602	-0.134824	0	0.214327
0.376	0.202465	-0.13783	0	0.214459
0.377	0.202325	-0.141222	0	0.214649
0.378	0.202187	-0.139362	0	0.214108
0.379	0.202035	-0.152856	0	0.215773
0.38	0.201883	-0.15329	0	0.215532
0.381	0.201731	-0.152059	0	0.215039
0.382	0.201576	-0.156423	0	0.215399
0.383	0.201416	-0.160589	0	0.215737
0.384	0.20127	-0.147858	0	0.213478
0.385	0.201115	-0.155598	0	0.214342
0.386	0.200954	-0.162087	0	0.215049
0.387	0.20077	-0.184605	0	0.218583
0.388	0.200576	-0.19507	0	0.22018
0.389	0.200369	-0.208122	0	0.222396
0.39	0.200138	-0.232528	0	0.22731
0.391	0.199874	-0.264293	0	0.234674
0.392	0.1996	-0.275761	0	0.237222
0.393	0.199311	-0.289536	0	0.24054
0.394	0.199021	-0.291282	0	0.240469
0.395	0.198717	-0.304358	0	0.24376
0.396	0.198431	-0.287559	0	0.238219
0.397	0.198145	-0.287064	0	0.23751
0.398	0.197849	-0.296959	0	0.239813
0.399	0.197546	-0.304228	0	0.241399
0.4	0.19723	-0.316673	0	0.244639
0.401	0.19691	-0.321199	0	0.245451
0.402	0.196568	-0.342822	0	0.251958
0.403	0.196227	-0.342115	0	0.251046
0.404	0.195872	-0.356113	0	0.255237
0.405	0.195517	-0.355842	0	0.254446
0.406	0.19516	-0.357324	0	0.254278
0.407	0.19482	-0.341503	0	0.248086
0.408	0.194485	-0.336168	0	0.245626
0.409	0.194143	-0.343023	0	0.247289
0.41	0.193826	-0.317966	0	0.238393
0.411	0.193532	-0.294482	0	0.230633
0.412	0.193231	-0.302176	0	0.232346
0.413	0.192945	-0.286724	0	0.227244
0.414	0.192682	-0.26382	0	0.220433
0.415	0.192406	-0.27706	0	0.223482
0.416	0.192125	-0.282564	0	0.22448
0.417	0.191828	-0.297893	0	0.228359
0.418	0.191527	-0.30196	0	0.229002
0.419	0.191218	-0.309601	0	0.230748
0.42	0.190916	-0.302445	0	0.227982
0.421	0.19065	-0.267502	0	0.217516
0.422	0.190396	-0.254766	0	0.213706
0.423	0.190141	-0.256476	0	0.213657
0.424	0.18988	-0.261299	0	0.214411
0.425	0.189631	-0.250271	0	0.211117
0.426	0.189389	-0.24269	0	0.20879
0.427	0.189143	-0.247442	0	0.209489
0.428	0.188933	-0.210461	0	0.200626
0.429	0.188725	-0.209486	0	0.200027
0.43	0.188508	-0.2175	0	0.201329
0.431	0.188303	-0.205829	0	0.198473
0.432	0.188108	-0.196473	0	0.196223
0.433	0.1879	-0.208647	0	0.198299
0.434	0.187674	-0.226413	0	0.20174
0.435	0.187447	-0.228204	0	0.201721
0.436	0.187248	-0.199788	0	0.195267
0.437	0.187053	-0.196283	0	0.194207
0.438	0.186837	-0.216421	0	0.19796
0.439	0.186629	-0.209766	0	0.196152
0.44	0.18643	-0.199279	0	0.193637
0.441	0.186231	-0.200074	0	0.193425
